country,currency name, denominations in country
Japan, Yen, 10000, 5000, 2000, 1000, 500, 100, 50, 10, 5, 1
Australia, Australian Dollar, 100, 50, 20, 10, 5, 0.5, 0.2, 0.1, 0.05
Canada, Canadian Dollar, 100, 50, 20, 10, 5, 0.5, 0.25, 0.1, 0.05
U.S., American Dollar, 100, 50, 20, 10, 5, 2, 1, 0.5, 0.25, 0.1, 0.05, 0.01
